Response,Sentiment
[NAME] I handicap Disable disabled Special I work Aha says it's a [ADDRESS] [PHONE NUMBER],O
[NAME] I will clean the hospital Where can I hide a hospital What?  Can what can [MEDICAL PROVIDER] and Speci I have a job walking hospital Clean cuts in cuts Kind of cards [ADDRESS] [PHONE NUMBER] back,O
1. There are no clear instructions for extending medical leave. I was told the Request for Medical Information was being mailed to me and has not arrived - 2 weeks now.   2. I have called for more than 2 weeks without getting through to EDD. I  sent emails and responses were either delayed or insufficient. I have contacted our Senator's office to help me.  3. My practitioner is out of state and I need to extend my leave but am still  left in the dark about how to do so.  4. The Request for Medical Information form that is supposed to come to me is not available on line.  5. None of the help tools help.,N
2 times i left messages and never received answer,O
"A bit confusing st first,  but after  using for some time it's very easy to navigate",P
A excellent process that helps you navigate the process,P
A little confused with checking in thru Edd then the application has to be saved the app for sdi and that part I didn't understand and kept filling over and over again,O
A little hard to navigate,N
"A lot of the time the website was down, the website is not easy to follow, getting ahold of a real person is almost impossible.",N
A surprisingly easy website to navigate,P
Ability to reach representatives at EDD is the worst!,N
"Account locked.  Don't know security question answer.  Can't reset password.  EDD says they don't recognize my phone number.  No one available to answer phone for over 5 days now.  Local EDD, One Stop, only has 1 person 1 day a week that knows anything about EDD.",N
After a coworker advised me of the benefit I found the online process to be fairly simple.,O
"After an hour of wait, I was grateful I got a hold of a staff. The staff says there is a 30 day delay for my disability claim and I am still unsure if I will get the full 10 to 12 weeks. I did like that she clarified that I want to note that I want to get my SDI claim benefit [DATE] as specified by my doctor. I did like that she said she needed the time to contact my employer to tell them not to call me to work during this time and to confirm there are no benefits.",P
After having a stroke something this important was useful asking Edd chat did not answer questions,P
After logging in. It took me forever to find out where the one inbox message was. I had to keep going in and out until I finally found it. Very confusing for me.,N
"After missing a call from one of your representatives , I called the representative back three times and left messages. No one has returned my call.  My job is [OCCUPATION], so I'm often driving and unable to communicate safely on the phone. Your recent emails didn't provide me any additional guidance.",N
"After my almost years attempt to have my missing wages added and countless calls with never getting through I had to contact my state representative to assist with the approval and also to have my missing wages added. Never once have been able to speak to a live representative because the lines are too busy. Local office line and wait time is always over 2 hours, and parking at the local office is not available for use, is the claimant's are required to pay up to $15 a day to attempt to resolve or seek assistance from the local [CITY] office.",N
After the fact questions and updates  and the filling out process is some what unclear if there's a update with doctor should there be another claim submitted or not regrading time off or not,N
"Again, terrible website. I'm pretty well versed with a complete so I can only imagine how much more challenging this situation is for those who are not.",N
All avenues point to a phone number that always is over loaded. I did use the work order system to ultimately get my account accessible but by the time I was able to do that between ICU stay I was denied disability and eventually was put in contact with a resource over the phone who was incredibly helpful,O
All info is there just learning where to find it,O
All is good but to contact the disability insurance by phone   It is the very worst experience that anyone could have,N
"All on line, useful.",P
All perfect.... customer service all perfect,P
all the  buttons are not clear,O
All the information provided does not actually help because the system is so slow. Getting a response takes weeks so little is automated that the website is useless if you are trying to find out why a claim is not being processed.,N
All the process Is clear.,P
"All the websites were very helpful, without them I would have had no information on how to proceed with the process.",P
All too often the materials are difficult to understand,N
All useful.,P
"Although there is information in the faqs, it is hardly helpful due to this poorly designed system for correspondents.",N
Always unable to speak with anyone to help me,P
answer the phone,O
Answered my questions perfectly,P
Answered questions I was looking for.,P
answers many question and also helped with concerns and education,P
Anyone applying for disability should have an interview first to clarify that there are two types of disabilities... State disability and EDD disability.  Or have to take a video class and pass it.  It is very confusing.  Having to have a dedicated e-mail just for your communications is difficult because I hope I can find a part time job that I can keep - it's not on my mind that I need to check this e-mail.  I am super upset at the process.,N
"Applying for disability was one of the most confusing things. It took me forever to find the information on when to apply for pregnancy disability and even then it wasn't completely clear what I needed to do and what date to put for disability start date. It also feels unnecessarily complicated. And calling is useless since the phone lines are always so busy that it will automatically hang up. So it feels like there is no way to get questions answered unless it's something in FAQs or that the AI chat can answer, which typically it isn't.",N
"As a person disabled from working and seeking answers to avoid hardship, it was Very hard contacting someone.  Ask EDD, wasn't helpful. This triggers anxiety, depression and angry being stuck in limbo.  If EDD can have different lines for different departments, it would cut down the stree on employees and customers.  Being on disability isn't easy especially since a person is losing their livihood.  Thousands of Californians are out of work due to injury/illness, this process to get answer would be stress added to their current situation.   I would mention, once a customer finally reaches an EDD agent, the process is amazing but the conversations are always intense due to the prior process..",N
As good as can be expected for a government website,P
"Ask edd did not provide answers to specific questions, it was more of a general FAQ set up.",O
Asked were I can see all my past bonding dates or claims and all that comes up is my pending not the past ones. Should be able to see pending and past claims for bonding not just the pending and disability claims only.,O
"At first glance, some what difficult to navigate through. Visiting the [CITY] office, I was able to get a better understanding by talking with a representative.",P
At first it was overwhelming but the more I read the easier it got,P
Automated system does not comprehend request to speak to a human. This survey has a delay and is not responding correctly. You need someone that actually knows how resolve I T issues,O
awesome experience. very useful,P
"Bad customer service on ATM card, hard to use, pls have your systems compatible to I phones , i don't have computer at home",N
Basically it was just a text or chat,O
"Because I had added my middle name to my license, my name wasn't registering in the system and I had to go to the office to correct it",O
Before it was a little confusing to do everything.  But I think now is more clear and  I understand everything,P
Better status update section. With update statuses that make sense and give days of how long things will take or if any information is still needed.,O
"Bueno el sistema me pide que ag· una cuenta pero el acceso es denegado [Well, the system asks me to open an account but access is denied]",O
"By far the worst in this state. You all need to be fired and ashamed of the job you do. Simply, its ridiculous.",N
By using the various subheadings gave me a better insight on what am looking for or need in terms of claim clarity.,P
Call about 6 times and finally talked to someone and that was confusing. Then she said I would get a form in the mail and I never did  I kept trying to call back for 5 days getting a recording.,N
Call me and I'll tell you so much that is wrong with your website and call center,N
Called many times and will say maximum calls already reached at 8:01am.,N
Called the first time for 6 days. Alway saying not available,N
Calling by phone is absolutely ridiculous! The EDD should be ashamed!!!,N
Calling EDD was difficult. The employees do not answer. I visited 2 offices and was given different answers. My claim took 4 month. I did not receive payment putting my family in financial strain!,N
"Calling in to speak to someone is a nuisance. Any background noise messes up the call, entering information on the phone, the automated system does not understand, and no availability of representatives every time I call.",N
Calling takes a long time to wait.  But it is always helpful speaking to the agent.,O
